"","Survived","Pclass","Sex","Age"
"1174",NA,"3","female",NA
"1175",NA,"3","female",9
"1176",NA,"3","female",2
"1177",NA,"3","male",36
"1178",NA,"3","male",NA
"1179",NA,"1","male",24
"1180",NA,"3","male",NA
"1181",NA,"3","male",NA
"1182",NA,"1","male",NA
"1183",NA,"3","female",30
"1184",NA,"3","male",NA
"1185",NA,"1","male",53
"1186",NA,"3","male",36
"1187",NA,"3","male",26
"1188",NA,"2","female",1
"1189",NA,"3","male",NA
"1190",NA,"1","male",30
"1191",NA,"3","male",29
"1192",NA,"3","male",32
"1193",NA,"2","male",NA
"1194",NA,"2","male",43
"1195",NA,"3","male",24
"1196",NA,"3","female",NA
"1197",NA,"1","female",64
"1198",NA,"1","male",30
"1199",NA,"3","male",0.83
"1200",NA,"1","male",55
"1201",NA,"3","female",45
"1202",NA,"3","male",18
"1203",NA,"3","male",22
"1204",NA,"3","male",NA
"1205",NA,"3","female",37
"1206",NA,"1","female",55
"1207",NA,"3","female",17
"1208",NA,"1","male",57
"1209",NA,"2","male",19
"1210",NA,"3","male",27
"1211",NA,"2","male",22
"1212",NA,"3","male",26
"1213",NA,"3","male",25
"1214",NA,"2","male",26
"1215",NA,"1","male",33
"1216",NA,"1","female",39
"1217",NA,"3","male",23
"1218",NA,"2","female",12
"1219",NA,"1","male",46
"1220",NA,"2","male",29
"1221",NA,"2","male",21
"1222",NA,"2","female",48
"1223",NA,"1","male",39
"1224",NA,"3","male",NA
"1225",NA,"3","female",19
"1226",NA,"3","male",27
"1227",NA,"1","male",30
"1228",NA,"2","male",32
"1229",NA,"3","male",39
"1230",NA,"2","male",25
"1231",NA,"3","male",NA
"1232",NA,"2","male",18
"1233",NA,"3","male",32
"1234",NA,"3","male",NA
"1235",NA,"1","female",58
"1236",NA,"3","male",NA
"1237",NA,"3","female",16
"1238",NA,"2","male",26
"1239",NA,"3","female",38
"1240",NA,"2","male",24
"1241",NA,"2","female",31
"1242",NA,"1","female",45
"1243",NA,"2","male",25
"1244",NA,"2","male",18
"1245",NA,"2","male",49
"1246",NA,"3","female",0.17
"1247",NA,"1","male",50
"1248",NA,"1","female",59
"1249",NA,"3","male",NA
"1250",NA,"3","male",NA
"1251",NA,"3","female",30
"1252",NA,"3","male",14.5
"1253",NA,"2","female",24
"1254",NA,"2","female",31
"1255",NA,"3","male",27
"1256",NA,"1","female",25
"1257",NA,"3","female",NA
"1258",NA,"3","male",NA
"1259",NA,"3","female",22
"1260",NA,"1","female",45
"1261",NA,"2","male",29
"1262",NA,"2","male",21
"1263",NA,"1","female",31
"1264",NA,"1","male",49
"1265",NA,"2","male",44
"1266",NA,"1","female",54
"1267",NA,"1","female",45
"1268",NA,"3","female",22
"1269",NA,"2","male",21
"1270",NA,"1","male",55
"1271",NA,"3","male",5
"1272",NA,"3","male",NA
"1273",NA,"3","male",26
"1274",NA,"3","female",NA
"1275",NA,"3","female",19
"1276",NA,"2","male",NA
"1277",NA,"2","female",24
"1278",NA,"3","male",24
"1279",NA,"2","male",57
"1280",NA,"3","male",21
"1281",NA,"3","male",6
"1282",NA,"1","male",23
"1283",NA,"1","female",51
"1284",NA,"3","male",13
"1285",NA,"2","male",47
"1286",NA,"3","male",29
"1287",NA,"1","female",18
"1288",NA,"3","male",24
"1289",NA,"1","female",48
"1290",NA,"3","male",22
"1291",NA,"3","male",31
"1292",NA,"1","female",30
"1293",NA,"2","male",38
"1294",NA,"1","female",22
"1295",NA,"1","male",17
"1296",NA,"1","male",43
"1297",NA,"2","male",20
"1298",NA,"2","male",23
"1299",NA,"1","male",50
"1300",NA,"3","female",NA
"1301",NA,"3","female",3
"1302",NA,"3","female",NA
"1303",NA,"1","female",37
"1304",NA,"3","female",28
"1305",NA,"3","male",NA
"1306",NA,"1","female",39
"1307",NA,"3","male",38.5
"1308",NA,"3","male",NA
"1309",NA,"3","male",NA
