"","Survived","Pclass","Sex","Age","Age.factor"
"779","No","3","male",25,"17-31"
"780","Sí","1","female",43,"32-51"
"781","Sí","3","female",13,"0-16"
"782","Sí","1","female",17,"17-31"
"783","No","1","male",29,"17-31"
"784","No","3","male",25,"17-31"
"785","No","3","male",25,"17-31"
"786","No","3","male",25,"17-31"
"787","Sí","3","female",18,"17-31"
"788","No","3","male",8,"0-16"
"789","Sí","3","male",1,"0-16"
"790","No","1","male",46,"32-51"
"791","No","3","male",25,"17-31"
"792","No","2","male",16,"0-16"
"793","No","3","female",21.5,"17-31"
"794","No","1","male",40,"32-51"
"795","No","3","male",25,"17-31"
"796","No","2","male",39,"32-51"
"797","Sí","1","female",49,"32-51"
"798","Sí","3","female",31,"17-31"
"799","No","3","male",30,"17-31"
"800","No","3","female",30,"17-31"
"801","No","2","male",34,"32-51"
"802","Sí","2","female",31,"17-31"
"803","Sí","1","male",11,"0-16"
"804","Sí","3","male",0.42,"0-16"
"805","Sí","3","male",27,"17-31"
"806","No","3","male",31,"17-31"
"807","No","1","male",39,"32-51"
"808","No","3","female",18,"17-31"
"809","No","2","male",39,"32-51"
"810","Sí","1","female",33,"32-51"
"811","No","3","male",26,"17-31"
"812","No","3","male",39,"32-51"
"813","No","2","male",35,"32-51"
"814","No","3","female",6,"0-16"
"815","No","3","male",30.5,"17-31"
"816","No","1","male",40,"32-51"
"817","No","3","female",23,"17-31"
"818","No","2","male",31,"17-31"
"819","No","3","male",43,"32-51"
"820","No","3","male",10,"0-16"
"821","Sí","1","female",52,"52-64"
"822","Sí","3","male",27,"17-31"
"823","No","1","male",38,"32-51"
"824","Sí","3","female",27,"17-31"
"825","No","3","male",2,"0-16"
"826","No","3","male",25,"17-31"
"827","No","3","male",25,"17-31"
"828","Sí","2","male",1,"0-16"
"829","Sí","3","male",25,"17-31"
"830","Sí","1","female",62,"52-64"
"831","Sí","3","female",15,"0-16"
"832","Sí","2","male",0.83,"0-16"
"833","No","3","male",25,"17-31"
"834","No","3","male",23,"17-31"
"835","No","3","male",18,"17-31"
"836","Sí","1","female",39,"32-51"
"837","No","3","male",21,"17-31"
"838","No","3","male",25,"17-31"
"839","Sí","3","male",32,"32-51"
"840","Sí","1","male",40,"32-51"
"841","No","3","male",20,"17-31"
"842","No","2","male",16,"0-16"
"843","Sí","1","female",30,"17-31"
"844","No","3","male",34.5,"32-51"
"845","No","3","male",17,"17-31"
"846","No","3","male",42,"32-51"
"847","No","3","male",25,"17-31"
"848","No","3","male",35,"32-51"
"849","No","2","male",28,"17-31"
"850","Sí","1","female",35,"32-51"
"851","No","3","male",4,"0-16"
"852","No","3","male",74,"65+"
"853","No","3","female",9,"0-16"
"854","Sí","1","female",16,"0-16"
"855","No","2","female",44,"32-51"
"856","Sí","3","female",18,"17-31"
"857","Sí","1","female",45,"32-51"
"858","Sí","1","male",51,"32-51"
"859","Sí","3","female",24,"17-31"
"860","No","3","male",25,"17-31"
"861","No","3","male",41,"32-51"
"862","No","2","male",21,"17-31"
"863","Sí","1","female",48,"32-51"
"864","No","3","female",21.5,"17-31"
"865","No","2","male",24,"17-31"
"866","Sí","2","female",42,"32-51"
"867","Sí","2","female",27,"17-31"
"868","No","1","male",31,"17-31"
"869","No","3","male",25,"17-31"
"870","Sí","3","male",4,"0-16"
"871","No","3","male",26,"17-31"
"872","Sí","1","female",47,"32-51"
"873","No","1","male",33,"32-51"
"874","No","3","male",47,"32-51"
"875","Sí","2","female",28,"17-31"
"876","Sí","3","female",15,"0-16"
"877","No","3","male",20,"17-31"
"878","No","3","male",19,"17-31"
"879","No","3","male",25,"17-31"
"880","Sí","1","female",56,"52-64"
"881","Sí","2","female",25,"17-31"
"882","No","3","male",33,"32-51"
"883","No","3","female",22,"17-31"
"884","No","2","male",28,"17-31"
"885","No","3","male",25,"17-31"
"886","No","3","female",39,"32-51"
"887","No","2","male",27,"17-31"
"888","Sí","1","female",19,"17-31"
"889","No","3","female",21.5,"17-31"
"890","Sí","1","male",26,"17-31"
"891","No","3","male",32,"32-51"
"892","No","3","male",34.5,"32-51"
"893","No","3","female",47,"32-51"
"894","No","2","male",62,"52-64"
"895","No","3","male",27,"17-31"
"896","Sí","3","female",22,"17-31"
"897","No","3","male",14,"0-16"
"898","Sí","3","female",30,"17-31"
"899","No","2","male",26,"17-31"
"900","Sí","3","female",18,"17-31"
"901","No","3","male",21,"17-31"
"902","No","3","male",25,"17-31"
"903","No","1","male",46,"32-51"
"904","Sí","1","female",23,"17-31"
"905","No","2","male",63,"52-64"
"906","Sí","1","female",47,"32-51"
"907","Sí","2","female",24,"17-31"
"908","No","2","male",35,"32-51"
"909","No","3","male",21,"17-31"
"910","Sí","3","female",27,"17-31"
"911","No","3","female",45,"32-51"
"912","No","1","male",55,"52-64"
"913","No","3","male",9,"0-16"
"914","Sí","1","female",35,"32-51"
"915","No","1","male",21,"17-31"
"916","Sí","1","female",48,"32-51"
"917","No","3","male",50,"32-51"
"918","Sí","1","female",22,"17-31"
"919","No","3","male",22.5,"17-31"
"920","No","1","male",41,"32-51"
"921","No","3","male",25,"17-31"
"922","No","2","male",50,"32-51"
"923","No","2","male",24,"17-31"
"924","No","3","female",33,"32-51"
"925","Sí","3","female",21.5,"17-31"
"926","No","1","male",30,"17-31"
"927","No","3","male",18.5,"17-31"
"928","Sí","3","female",21.5,"17-31"
"929","Sí","3","female",21,"17-31"
"930","No","3","male",25,"17-31"
"931","No","3","male",25,"17-31"
"932","No","3","male",39,"32-51"
"933","No","1","male",40,"32-51"
"934","No","3","male",41,"32-51"
"935","Sí","2","female",30,"17-31"
"936","Sí","1","female",45,"32-51"
"937","No","3","male",25,"17-31"
"938","No","1","male",45,"32-51"
"939","No","3","male",25,"17-31"
"940","Sí","1","female",60,"52-64"
"941","No","3","female",36,"32-51"
"942","No","1","male",24,"17-31"
"943","No","2","male",27,"17-31"
"944","Sí","2","female",20,"17-31"
"945","Sí","1","female",28,"17-31"
"946","No","2","male",30,"17-31"
"947","No","3","male",10,"0-16"
"948","No","3","male",35,"32-51"
"949","No","3","male",25,"17-31"
"950","No","3","male",25,"17-31"
"951","Sí","1","female",36,"32-51"
"952","No","3","male",17,"17-31"
"953","No","2","male",32,"32-51"
"954","No","3","male",18,"17-31"
"955","Sí","3","female",22,"17-31"
"956","Sí","1","male",13,"0-16"
"957","Sí","2","female",28,"17-31"
"958","Sí","3","female",18,"17-31"
"959","No","1","male",47,"32-51"
"960","No","1","male",31,"17-31"
"961","Sí","1","female",60,"52-64"
"962","Sí","3","female",24,"17-31"
"963","No","3","male",21,"17-31"
"964","Sí","3","female",29,"17-31"
"965","No","1","male",28.5,"17-31"
"966","Sí","1","female",35,"32-51"
"967","No","1","male",32.5,"32-51"
"968","No","3","male",25,"17-31"
"969","Sí","1","female",55,"52-64"
"970","No","2","male",30,"17-31"
"971","Sí","3","female",24,"17-31"
"972","No","3","male",6,"0-16"
"973","No","1","male",67,"65+"
"974","No","1","male",49,"32-51"
"975","No","3","male",25,"17-31"
"976","No","2","male",30,"17-31"
"977","No","3","male",25,"17-31"
"978","Sí","3","female",27,"17-31"
"979","Sí","3","female",18,"17-31"
"980","Sí","3","female",21.5,"17-31"
"981","No","2","male",2,"0-16"
"982","Sí","3","female",22,"17-31"
"983","No","3","male",25,"17-31"
"984","Sí","1","female",27,"17-31"
"985","No","3","male",25,"17-31"
"986","No","1","male",25,"17-31"
"987","No","3","male",25,"17-31"
"988","Sí","1","female",76,"65+"
"989","No","3","male",29,"17-31"
"990","Sí","3","female",20,"17-31"
"991","No","3","male",33,"32-51"
"992","Sí","1","female",43,"32-51"
"993","No","2","male",27,"17-31"
"994","No","3","male",25,"17-31"
"995","No","3","male",26,"17-31"
"996","Sí","3","female",16,"0-16"
"997","No","3","male",28,"17-31"
"998","No","3","male",21,"17-31"
"999","No","3","male",25,"17-31"
"1000","No","3","male",25,"17-31"
"1001","No","2","male",18.5,"17-31"
"1002","No","2","male",41,"32-51"
"1003","Sí","3","female",21.5,"17-31"
"1004","Sí","1","female",36,"32-51"
"1005","Sí","3","female",18.5,"17-31"
"1006","Sí","1","female",63,"52-64"
"1007","No","3","male",18,"17-31"
"1008","No","3","male",25,"17-31"
"1009","Sí","3","female",1,"0-16"
"1010","No","1","male",36,"32-51"
"1011","Sí","2","female",29,"17-31"
"1012","Sí","2","female",12,"0-16"
"1013","No","3","male",25,"17-31"
"1014","Sí","1","female",35,"32-51"
"1015","No","3","male",28,"17-31"
"1016","No","3","male",25,"17-31"
"1017","Sí","3","female",17,"17-31"
"1018","No","3","male",22,"17-31"
"1019","Sí","3","female",21.5,"17-31"
"1020","No","2","male",42,"32-51"
"1021","No","3","male",24,"17-31"
"1022","No","3","male",32,"32-51"
"1023","No","1","male",53,"52-64"
"1024","Sí","3","female",21.5,"17-31"
"1025","No","3","male",25,"17-31"
"1026","No","3","male",43,"32-51"
"1027","No","3","male",24,"17-31"
"1028","No","3","male",26.5,"17-31"
"1029","No","2","male",26,"17-31"
"1030","Sí","3","female",23,"17-31"
"1031","No","3","male",40,"32-51"
"1032","Sí","3","female",10,"0-16"
"1033","Sí","1","female",33,"32-51"
"1034","No","1","male",61,"52-64"
"1035","No","2","male",28,"17-31"
"1036","No","1","male",42,"32-51"
"1037","No","3","male",31,"17-31"
"1038","No","1","male",40,"32-51"
"1039","No","3","male",22,"17-31"
"1040","No","1","male",40,"32-51"
"1041","No","2","male",30,"17-31"
"1042","Sí","1","female",23,"17-31"
"1043","No","3","male",25,"17-31"
"1044","No","3","male",60.5,"52-64"
"1045","No","3","female",36,"32-51"
"1046","No","3","male",13,"0-16"
"1047","No","3","male",24,"17-31"
"1048","Sí","1","female",29,"17-31"
"1049","Sí","3","female",23,"17-31"
"1050","No","1","male",42,"32-51"
"1051","Sí","3","female",26,"17-31"
"1052","Sí","3","female",21.5,"17-31"
"1053","No","3","male",7,"0-16"
"1054","Sí","2","female",26,"17-31"
"1055","No","3","male",25,"17-31"
"1056","No","2","male",41,"32-51"
"1057","Sí","3","female",26,"17-31"
"1058","No","1","male",48,"32-51"
"1059","No","3","male",18,"17-31"
"1060","Sí","1","female",35,"32-51"
"1061","Sí","3","female",22,"17-31"
"1062","No","3","male",25,"17-31"
"1063","No","3","male",27,"17-31"
"1064","No","3","male",23,"17-31"
"1065","No","3","male",25,"17-31"
"1066","No","3","male",40,"32-51"
"1067","Sí","2","female",15,"0-16"
"1068","Sí","2","female",20,"17-31"
"1069","No","1","male",54,"52-64"
"1070","Sí","2","female",36,"32-51"
"1071","Sí","1","female",64,"52-64"
"1072","No","2","male",30,"17-31"
"1073","No","1","male",37,"32-51"
"1074","Sí","1","female",18,"17-31"
"1075","No","3","male",25,"17-31"
"1076","Sí","1","female",27,"17-31"
"1077","No","2","male",40,"32-51"
"1078","Sí","2","female",21,"17-31"
"1079","No","3","male",17,"17-31"
"1080","Sí","3","female",21.5,"17-31"
"1081","No","2","male",40,"32-51"
"1082","No","2","male",34,"32-51"
"1083","No","1","male",40,"32-51"
"1084","No","3","male",11.5,"0-16"
"1085","No","2","male",61,"52-64"
"1086","No","2","male",8,"0-16"
"1087","No","3","male",33,"32-51"
"1088","Sí","1","male",6,"0-16"
"1089","Sí","3","female",18,"17-31"
"1090","No","2","male",23,"17-31"
"1091","Sí","3","female",21.5,"17-31"
"1092","Sí","3","female",21.5,"17-31"
"1093","No","3","male",0.33,"0-16"
"1094","No","1","male",47,"32-51"
"1095","Sí","2","female",8,"0-16"
"1096","No","2","male",25,"17-31"
"1097","No","1","male",40,"32-51"
"1098","No","3","female",35,"32-51"
"1099","No","2","male",24,"17-31"
"1100","Sí","1","female",33,"32-51"
"1101","No","3","male",25,"17-31"
"1102","No","3","male",32,"32-51"
"1103","No","3","male",25,"17-31"
"1104","No","2","male",17,"17-31"
"1105","Sí","2","female",60,"52-64"
"1106","No","3","female",38,"32-51"
"1107","No","1","male",42,"32-51"
"1108","Sí","3","female",21.5,"17-31"
"1109","No","1","male",57,"52-64"
"1110","Sí","1","female",50,"32-51"
"1111","No","3","male",25,"17-31"
"1112","Sí","2","female",30,"17-31"
"1113","No","3","male",21,"17-31"
"1114","Sí","2","female",22,"17-31"
"1115","No","3","male",21,"17-31"
"1116","Sí","1","female",53,"52-64"
"1117","Sí","3","female",21.5,"17-31"
"1118","No","3","male",23,"17-31"
"1119","Sí","3","female",21.5,"17-31"
"1120","No","3","male",40.5,"32-51"
"1121","No","2","male",36,"32-51"
"1122","No","2","male",14,"0-16"
"1123","Sí","1","female",21,"17-31"
"1124","No","3","male",21,"17-31"
"1125","No","3","male",25,"17-31"
"1126","No","1","male",39,"32-51"
"1127","No","3","male",20,"17-31"
"1128","No","1","male",64,"52-64"
"1129","No","3","male",20,"17-31"
"1130","Sí","2","female",18,"17-31"
"1131","Sí","1","female",48,"32-51"
"1132","Sí","1","female",55,"52-64"
"1133","Sí","2","female",45,"32-51"
"1134","No","1","male",45,"32-51"
"1135","No","3","male",25,"17-31"
"1136","No","3","male",25,"17-31"
"1137","No","1","male",41,"32-51"
"1138","Sí","2","female",22,"17-31"
"1139","No","2","male",42,"32-51"
"1140","Sí","2","female",29,"17-31"
"1141","Sí","3","female",21.5,"17-31"
"1142","Sí","2","female",0.92,"0-16"
"1143","No","3","male",20,"17-31"
"1144","No","1","male",27,"17-31"
"1145","No","3","male",24,"17-31"
"1146","No","3","male",32.5,"32-51"
"1147","No","3","male",25,"17-31"
"1148","No","3","male",25,"17-31"
"1149","No","3","male",28,"17-31"
"1150","Sí","2","female",19,"17-31"
"1151","No","3","male",21,"17-31"
"1152","No","3","male",36.5,"32-51"
"1153","No","3","male",21,"17-31"
"1154","Sí","2","female",29,"17-31"
"1155","Sí","3","female",1,"0-16"
"1156","No","2","male",30,"17-31"
"1157","No","3","male",25,"17-31"
"1158","No","1","male",40,"32-51"
"1159","No","3","male",25,"17-31"
"1160","Sí","3","female",21.5,"17-31"
"1161","No","3","male",17,"17-31"
"1162","No","1","male",46,"32-51"
"1163","No","3","male",25,"17-31"
"1164","Sí","1","female",26,"17-31"
"1165","Sí","3","female",21.5,"17-31"
"1166","No","3","male",25,"17-31"
"1167","Sí","2","female",20,"17-31"
"1168","No","2","male",28,"17-31"
"1169","No","2","male",40,"32-51"
"1170","No","2","male",30,"17-31"
"1171","No","2","male",22,"17-31"
"1172","Sí","3","female",23,"17-31"
"1173","No","3","male",0.75,"0-16"
"1174","Sí","3","female",21.5,"17-31"
"1175","Sí","3","female",9,"0-16"
"1176","Sí","3","female",2,"0-16"
"1177","No","3","male",36,"32-51"
"1178","No","3","male",25,"17-31"
"1179","No","1","male",24,"17-31"
"1180","No","3","male",25,"17-31"
"1181","No","3","male",25,"17-31"
"1182","No","1","male",40,"32-51"
"1183","Sí","3","female",30,"17-31"
"1184","No","3","male",25,"17-31"
"1185","No","1","male",53,"52-64"
"1186","No","3","male",36,"32-51"
"1187","No","3","male",26,"17-31"
"1188","Sí","2","female",1,"0-16"
"1189","No","3","male",25,"17-31"
"1190","No","1","male",30,"17-31"
"1191","No","3","male",29,"17-31"
"1192","No","3","male",32,"32-51"
"1193","No","2","male",30,"17-31"
"1194","No","2","male",43,"32-51"
"1195","No","3","male",24,"17-31"
"1196","Sí","3","female",21.5,"17-31"
"1197","Sí","1","female",64,"52-64"
"1198","No","1","male",30,"17-31"
"1199","No","3","male",0.83,"0-16"
"1200","No","1","male",55,"52-64"
"1201","No","3","female",45,"32-51"
"1202","No","3","male",18,"17-31"
"1203","No","3","male",22,"17-31"
"1204","No","3","male",25,"17-31"
"1205","No","3","female",37,"32-51"
"1206","Sí","1","female",55,"52-64"
"1207","Sí","3","female",17,"17-31"
"1208","No","1","male",57,"52-64"
"1209","No","2","male",19,"17-31"
"1210","No","3","male",27,"17-31"
"1211","No","2","male",22,"17-31"
"1212","No","3","male",26,"17-31"
"1213","No","3","male",25,"17-31"
"1214","No","2","male",26,"17-31"
"1215","No","1","male",33,"32-51"
"1216","Sí","1","female",39,"32-51"
"1217","No","3","male",23,"17-31"
"1218","Sí","2","female",12,"0-16"
"1219","No","1","male",46,"32-51"
"1220","No","2","male",29,"17-31"
"1221","No","2","male",21,"17-31"
"1222","Sí","2","female",48,"32-51"
"1223","No","1","male",39,"32-51"
"1224","No","3","male",25,"17-31"
"1225","Sí","3","female",19,"17-31"
"1226","No","3","male",27,"17-31"
"1227","No","1","male",30,"17-31"
"1228","No","2","male",32,"32-51"
"1229","No","3","male",39,"32-51"
"1230","No","2","male",25,"17-31"
"1231","No","3","male",25,"17-31"
"1232","No","2","male",18,"17-31"
"1233","No","3","male",32,"32-51"
"1234","No","3","male",25,"17-31"
"1235","Sí","1","female",58,"52-64"
"1236","No","3","male",25,"17-31"
"1237","Sí","3","female",16,"0-16"
"1238","No","2","male",26,"17-31"
"1239","No","3","female",38,"32-51"
"1240","No","2","male",24,"17-31"
"1241","Sí","2","female",31,"17-31"
"1242","Sí","1","female",45,"32-51"
"1243","No","2","male",25,"17-31"
"1244","No","2","male",18,"17-31"
"1245","No","2","male",49,"32-51"
"1246","Sí","3","female",0.17,"0-16"
"1247","No","1","male",50,"32-51"
"1248","Sí","1","female",59,"52-64"
"1249","No","3","male",25,"17-31"
"1250","No","3","male",25,"17-31"
"1251","Sí","3","female",30,"17-31"
"1252","No","3","male",14.5,"0-16"
"1253","Sí","2","female",24,"17-31"
"1254","Sí","2","female",31,"17-31"
"1255","No","3","male",27,"17-31"
"1256","Sí","1","female",25,"17-31"
"1257","Sí","3","female",21.5,"17-31"
"1258","No","3","male",25,"17-31"
"1259","Sí","3","female",22,"17-31"
"1260","Sí","1","female",45,"32-51"
"1261","No","2","male",29,"17-31"
"1262","No","2","male",21,"17-31"
"1263","Sí","1","female",31,"17-31"
"1264","No","1","male",49,"32-51"
"1265","No","2","male",44,"32-51"
"1266","Sí","1","female",54,"52-64"
"1267","Sí","1","female",45,"32-51"
"1268","Sí","3","female",22,"17-31"
"1269","No","2","male",21,"17-31"
"1270","No","1","male",55,"52-64"
"1271","No","3","male",5,"0-16"
"1272","No","3","male",25,"17-31"
"1273","No","3","male",26,"17-31"
"1274","Sí","3","female",21.5,"17-31"
"1275","Sí","3","female",19,"17-31"
"1276","No","2","male",30,"17-31"
"1277","Sí","2","female",24,"17-31"
"1278","No","3","male",24,"17-31"
"1279","No","2","male",57,"52-64"
"1280","No","3","male",21,"17-31"
"1281","No","3","male",6,"0-16"
"1282","No","1","male",23,"17-31"
"1283","Sí","1","female",51,"32-51"
"1284","No","3","male",13,"0-16"
"1285","No","2","male",47,"32-51"
"1286","No","3","male",29,"17-31"
"1287","Sí","1","female",18,"17-31"
"1288","No","3","male",24,"17-31"
"1289","Sí","1","female",48,"32-51"
"1290","No","3","male",22,"17-31"
"1291","No","3","male",31,"17-31"
"1292","Sí","1","female",30,"17-31"
"1293","No","2","male",38,"32-51"
"1294","Sí","1","female",22,"17-31"
"1295","No","1","male",17,"17-31"
"1296","No","1","male",43,"32-51"
"1297","No","2","male",20,"17-31"
"1298","No","2","male",23,"17-31"
"1299","No","1","male",50,"32-51"
"1300","Sí","3","female",21.5,"17-31"
"1301","Sí","3","female",3,"0-16"
"1302","Sí","3","female",21.5,"17-31"
"1303","Sí","1","female",37,"32-51"
"1304","Sí","3","female",28,"17-31"
"1305","No","3","male",25,"17-31"
"1306","Sí","1","female",39,"32-51"
"1307","No","3","male",38.5,"32-51"
"1308","No","3","male",25,"17-31"
"1309","No","3","male",25,"17-31"
